闹钟	N
取消 晚上 所有 的 闹钟	RV TIME LL AUX N
把 没用 的 删了	LT M AUX RV
今天 的 闹铃 都 不要 了	TIME AUX N LL LNO AUX
只 留 周末 的	LL RV TIME AUX
下午 的 都 不要	TIME AUX LL LNO
今天 休息	TIME RV
删除 过期 的 闹钟	RV M AUX N
把 1 3 5项 删除	LT NUM NUM NUNIT RV
刚才 那 个 不要	LT TP QS LNO
删除 下周三 的 行程	RV TIME AUX N
删除 下周三 的 安排	RV TIME AUX N
下周三 的 行程 不要 了	TIME AUX N LNO AUX
把 上班 的 闹钟 删了	LT RV AUX N RV
删除 15点 的 闹钟	RV TIME AUX N
8点 的 闹钟 不要 了	TIME AUX N LNO AUX
今天 不 去 接 孩子 了	TIME LNO LV RV NB AUX
去 幼儿园 接 孩子 的 闹钟 不要 了	LV N RV NB AUX N LNO AUX
明天早上 的 飞机 取消 了	TIME AUX N RV AUX
把 下午 的 行程 都 取消 了	LT TIME AUX N LL RV AUX
把 下午 的 安排 都 删了	LT TIME AUX N LL RV
把 下午 的 安排 都 不要 了	LT TIME AUX N LL LNO AUX
把 早上6点 到 9点 的 闹钟 取消 了	LT TIME LV TIME AUX N RV AUX
晚上 的 闹钟 都 不要 了	TIME AUX N LL LNO AUX
今天 休息	TIME RV
今天 的 闹钟 都 不要 响 了	TIME AUX N LL LNO M AUX
删除 所有 闹钟	RV LL N
删除 所有 行程	RV LL N
把 所有 安排 都 删了	LT LL N LL RV
下午 的 安排 不要 了	TIME AUX N LNO AUX
看看 有 几 个 闹钟	RV L QP QS N
下午 还有 多少 个 事情	TIME L QP QS N
今天 有 什么 日程 安排	TIME L QP N N
看看 后面 还有 什么 事	RV LP L QP N
下班 以后 还有 几 个	TIME LT L QP QS
下 个 闹铃 提前 1个小时	QS QS N LV TIME
提前 15分钟 提醒	LV TIME RV
推迟 半个小时	LT TIME
延后 半个小时	LT TIME
10点 的 挪到 下午3点半	TIME AUX LT TIME
3点 以后 的 全部 推后 1个钟	TIME LT AUX LL LT TIME
3点 以后 的 全部 推迟 1个钟	TIME LT AUX LL LT TIME
下午 的 推后 半个钟	TIME AUX LT TIME
过 半个小时 再 说	LV TIME LV RV
把 星期二 和 星期天 闹钟 提醒 的 内容 对调 1下	LT TIME LT TIME N RV AUX N LT NUNIT
把 下午 的 挪到 明天	LT TIME AUX LT TIME
把 明天 的 移到 后天	LT TIME AUX LT TIME
把 明天上午 的 弄到 明天下午	LT TIME AUX LT TIME
温度 调 低 点	N RV M QU
温度 低 点	N M QU
调 低 1点 温度	RV M M N
冷气 调 小 点	N RV M QU
冷气 调 低 点	N RV M QU
低 点 温度	M QU N
温度 低 1点	N M M
温度 稍微 低 点	N M M QU
温度 再 低 点	N LV M QU
再 低 1点	LV M M
再 低 点	LV M QU
再 小 点	LV M QU
把 温度 调 低 点	LT N RV M QU
太 热 了	LL M AUX
热 死 了	M M AUX
温度 太 高 了	N LL M AUX
温度 真 高	N M M
温度 太 高	N LL M
温度 这么 高	N TP M
温度 很 高	N M M
温度 不 够 低	N LNO M M
温度 好 高	N M M
温度 调 低	N RV M
调 低 温度	RV M N
温度 更 低	N M M
降低 温度	LT N
把 温度 调 低	LT N RV M
调 低 1些 温度	RV M NUNIT N
没 冷气	LNO N
没有 冷气	LNO N
没 冷气 了	LNO N AUX
没有 冷气 了	LNO N AUX
再 来 点	LV LV QU
再 弄 点	LV RV QU
再 整 点	LV RV QU
再 大 点	LV M QU
再 高 点	LV M QU
来 点 温度	LV QU N
弄 点 温度	RV QU N
整 点 温度	RV QU N
把 温度 调 高 点	LT N RV M QU
冷气 调 大 点	N RV M QU
冷气 调 高 点	N RV M QU
调 高 1点 温度	RV M M N
高 点 温度	M QU N
温度 高 点	N M QU
温度 高 1点	N M M
温度 稍微 高 点	N M M QU
温度 再 高 点	N LV M QU
再 高 1点	LV M M
可以 高 点 温度 吗	LM M QU N 吗
能 高 点 温度 吗	LM M QU N 吗
能 不 能 高 点 温度	LM LNO LM M QU N
提高 1点 温度	LT M N
温度 再 高 1点 点	N LV M M QU
温度 调 高 1点	N RV M M
把 温度 弄 高 点	LT N RV M QU
把 温度 搞 高 点	LT N RV M QU
把 温度 提 高 点	LT N RV M QU
把 温度 整 高 点	LT N RV M QU
1点 温度 都 没有	M N LL LNO
温度 调 高	N RV M
调 高 温度	RV M N
温度 更 高	N M M
把 空调 打开	LT N RV
打开 热风	RV N
打开 冷气	RV N
打开 空调	RV N
太 冷 了	LL M AUX
冷 死 了	M M AUX
温度 太 低 了	N LL M AUX
温度 太 低	N LL M
温度 真 低	N M M
温度 这么 低	N TP M
温度 很 低	N M M
温度 不 够 高	N LNO M M
温度 好 低	N M M
没 温度 了	LNO N AUX
没有 温度 了	LNO N AUX
没 温度	LNO N
没有 温度	LNO N
没 暖气 了	LNO N AUX
没有 暖气 了	LNO N AUX
没 暖气	LNO N
没有 暖气	LNO N
没 热风	LNO N
没 热风 了	LNO N AUX
没有 热风	LNO N
没有 热风 了	LNO N AUX
温度 最高	N M
最高 温度	M N
把 温度 调到 最高	LT N LT M
温度 最低	N M
把 温度 调到 最低	LT N LT M
最低 温度	M N
温度 调到 25度	N LT NUNIT
调到 25度	LT NUNIT
把 空调 关 了	LT N M AUX
把 空调 关掉	LT N RV
关掉 热风	RV N
关掉 冷气	RV N
关掉 空调	RV N
